Field1,Time,Field2
 Road accident kills 6 in Afghanistan's Badakhshan province ,"ANI / Oct 21, 2021, 15:38 (IST)",  
 Tamil Nadu: Madurai duo Killed in accident involving bike and car ,"TNN / Nov 07, 2021, 20:45 (IST)", Two youths from Madurai were killed in a road accident involving a bike and a multipurpose vehicle near Nilakottai in Tamil Nadu on Sunday. 
 8-yr-old killed in school bus accident ,"TNN / Oct 21, 2021, 04:00 (IST)",  
" Accidents claim life of contractor, auto driver "," Sep 26, 2021, 04:42 (IST)",  
" Two killed, 12 injured in Ramban accident; seven referred to GMC Jammu ","TNN / Nov 13, 2021, 17:46 (IST)"," Two passengers were killed and 12 others were injured including four children, when a vehicle they were traveling in rolled down a gorge along the Jammu-Srinagar national highway in Ramban district on Saturday, police said. "
 Aligarh: Woman lawyer dies after being hit by truck ,"TNN / Dec 21, 2021, 23:02 (IST)"," A 32-year-old woman lawyer was killed and her father, also an advocate, sustained injuries when the two-wheeler they were riding on their way home from the court was hit by a cylinder-laden truck on Aligarh’s Khair bypass road under Roravar police limits on Tuesday. "
 Kin of PWD official killed in bike accident to get Rs 63 lakh: Tribunal ,"TNN / Nov 06, 2021, 07:32 (IST)"," According to the petition by the family members, the victim S Maniarasu was crossing the road near Karanithangal bus stop on April 18, 2018 when the accident happened. Maniarasu was admitted in a hospital, where he died on the same day. The insurance firm denied the contentions saying the petitioner's family had not submitted enough documents to substantiate their claims. "
" Speeding car kills police officer, driver who escaped identified ","TNN / Oct 30, 2021, 09:09 (IST)", Sharma was originally a resident of Rewa district. 
 Surat: Businessman held for killing teenagers in road accident ,"TNN / Sep 02, 2021, 04:00 (IST)", Police investigation into the accidental deaths of two teenage boys on Vesu Canal Road revealed that a textile businessman knocked them to death on August 24. 
 Youth killed in bike collision ,"TNN / Jan 10, 2022, 03:58 (IST)", Visakhapatnam: A 24-year-old-man was killed in a road accident at Sheelanagar in Vizag city. The deceased wasidentified as K Ravi Kumar. The police said the accident took place when Kumar’s bike collided with another bike. TNN 
 Nashik: Two people killed in separate road accidents ,"TNN / Oct 17, 2021, 04:36 (IST)"," In a collision between two motorcycles in the Carbon Naka, Satpur area, Mahesh Shinde (33) of the Shramik Nagar suffered injuries and succumbed to the same. "
" Uttarakhand: Two killed, one injured as tractor-trolley hits motorbike in US Nagar ","TNN / Nov 04, 2021, 04:44 (IST)"," The accident took place late on Tuesday night, when Aman Saxena, 18, a native of Bareilly, who had come at his relative’s home in Kewalganj, was heading towards the Rambagh village from Chandan Nagar on a motorbike. His friends — Vicky, 16, and Shiva Kumar, 18 — were sitting pillion, said SHO Ashok Kumar. "
" 3 killed, 4 injured in truck-car collision in UP's Kushinagar ","PTI / Oct 28, 2021, 20:47 (IST)"," Three people were killed and four injured in a collision between a truck and car in Tarya Sujan area of Kushinagar on Thursday, police said. "
" Dense fog plunges van into gorge, one dies in Vizag ","TNN / Dec 20, 2021, 04:56 (IST)", Low visibility triggered by dense fog led to a fatal road accident in Vizag Agency on Sunday morning. 
 Bengaluru: Woman dies as truck hits scooter ,"TNN / Dec 20, 2021, 03:37 (IST)"," Two persons, including a woman, were killed in separate accidents in Bengaluru since Saturday night.The 42-year-old woman was killed after a speeding truck rammed her scooter on Deendayal Upadhyaya flyover in Yeshwantpur on Saturday night. "
 Two guest workers killed in freak accident ,"TNN / Oct 06, 2021, 04:09 (IST)",  
" 6-yr-old, 2 others Killed in accidents "," Oct 16, 2021, 04:37 (IST)",  
 Mumbai: Two youths on bike killed as car takes sudden U-turn on flyover ,"TNN / Oct 01, 2021, 04:38 (IST)"," In a case of hit-and-run, two youths rammed their bike into a car which suddenly took a U-turn on a flyover near Phoenix mall, near Senapati Bapat Marg in Lower Parel on Wednesday night. The rider and pillion rider died while the car sped away, but the accident was captured by a CCTV camera at 10.50pm. "
 3 youths die as car rams into stationary truck ,"TNN / Dec 13, 2021, 04:57 (IST)", Three persons were killed and another sustained injuries in a suspected case of drunken driving after their car crashed into a parked truck at Dundigal on Sunday morning. 
 52-year-old woman killed in Ambad road accident ,"TNN / Sep 30, 2021, 04:56 (IST)",  
 Army man killed in road mishap cremated at his native village ," Oct 27, 2021, 07:17 (IST)",  
 Pune: Two pedestrians killed in separate hit-and-run accidents ,"TNN / Oct 11, 2021, 04:49 (IST)"," Around 2am, 38-year-old Sambhaji Gade of Sudumbare village in Maval taluka was returning home, when he was knocked down by an unknown vehicle near Indori along Talegaon-Chakan Road. "
 Pune: Woman & relative killed in hit-and-run accident near Daund ,"TNN / Sep 29, 2021, 04:58 (IST)"," A 35-year-old woman and her relative, a 53-year-old man, were killed in a hit-and-run case after a speeding truck knocked down the motorcycle they were travelling along the Pune-Solapur highway near Daund on Monday evening. "
 Ahmedabad: Hit-run kills woman on Iskcon flyover ,"TNN / Sep 12, 2021, 04:29 (IST)"," The body of an unidentified woman was found on the Iskcon flyover in the wee hours on Saturday, ostensibly killed in a hit-and-run accident. It appears as if the woman was walking on the bridge when the accident took place. "
" Torrential rain, landslides kill five in Kerala's Kottayam ","TNN / Oct 17, 2021, 04:46 (IST)"," Five people, including three of a family, were killed and nearly 20 went missing in rain related accidents in Kottayam and Idukki districts on Saturday. "
 Johannesburg mayor killed in car accident ,"AFP / Sep 19, 2021, 10:16 (IST)",  
" Five dead, 21 injured in bus accident south of Moscow ","AFP / Jan 02, 2022, 12:44 (IST)",  
" UP: Bus runs over pedestrian, driver dies as truck hits it ","TNN / Jan 02, 2022, 04:43 (IST)"," A speeding bus went put of control crushing to death a pedestrian before hitting an electric pole and then, a truck coming from the same direction struck it, killing the bus driver. "
" Uttar Pradesh: 15 killed, 26 injured as Delhi-Bahraich bus collides head-on with truck in Barabanki ","TNN / Oct 07, 2021, 09:25 (IST)", At least nine people were killed while 27 others suffered injuries after a double decker bus collided head on with a truck in Dewa police station area of Barabanki district on Thursday morning. The private bus was on its way to Bahraich from Delhi. 
 Kanpur: Pharma company employee Killed in accident ,"TNN / Sep 15, 2021, 04:35 (IST)", A 34-year-old private phrama company employee was killed while his friend suffered serious injuries after a speeding crane hit their bike in Naubasta area of the city on Tuesday. 
 9 killed in 2 accidents in a row at same spot in Jhajjar ," Oct 23, 2021, 07:00 (IST)",  
 19-year-old succumbs to car accident injuries ,"TNN / Dec 28, 2021, 04:30 (IST)",  
" Car mows down cops, SI killed, 3 cops hurt in Mathura ","TNN / Jan 02, 2022, 04:57 (IST)",  
 2 locals killed in Vaishno Devi stampede ,"TNN / Jan 02, 2022, 04:35 (IST)",  
" Rajasthan: RSRTC bus driver killed, 15 hurt in mishap ","TNN / Oct 19, 2021, 04:46 (IST)", The driver of a Rajasthan State Roadways Transport Corporation (RSRTC) bus was killed and 15 passengers were injured when the vehicle on its way to Ajmer via Jaipur rammed into a private bus near Pragpura on Jaipur-Delhi NH-8 on Monday. 
 Mumbai: Three members of a family Killed in accident in Virar ,"TNN / Oct 19, 2021, 19:02 (IST)", Three members of a family travelling on a scooter were killed after their vehicle was hit by a water tanker in Virar on Tuesday. The tanker driver fled after abandoning the vehicle. 
 Jammu and Kashmir: 11 killed in road mishap in Doda; PM Modi expresses grief ,"TNN / Oct 28, 2021, 16:57 (IST)", A mini-bus fell into a gorge in Doda district of Jammu and Kashmir on Thursday killing eleven people and injuring fifteen others of which seven were airlifted to Govt Medical College and Hospital (GMC&H) Jammu for specialised treatment. 
 2 men killed in bike accident ,"TNN / Sep 06, 2021, 04:52 (IST)",  
 Four devotees returning to Gujarat from Barmer Killed in accident ,"TNN / Oct 19, 2021, 04:10 (IST)"," Four devotees including two women died while five others were injured in collision between an SUV and a truck on Bhunka Bhagat highway in Barmer’s Sindhari police station area on Monday. Nine members of a family, after visiting the Jasol Majisa temple in Balotara, Barmer were returning to Deesa in Gujarat in the SUV. The injured have been taken to Sindhari hospital. "
" 'In Mumbai, 42% road accidents in 2020 were hit-and-run cases' ","TNN / Dec 15, 2021, 11:21 (IST)", A data released by Mumbai Traffic Police revealed 42 per cent of all fatal accidents (338) in Mumbai last year were hit-and-run incidents. 
 8 killed in road accidents in Jharkhand ,"PTI / Sep 15, 2021, 19:13 (IST)"," The driver of the bus was also critically injured and admitted to a hospital, police said, adding, the deceased include two men, two women and a teenage boy. "
 Two killed in separate accidents ,"TNN / Aug 28, 2021, 04:51 (IST)",  
 Patna: Teenagers killed in bike accident on Chitkohra road over bridge ,"TNN / Oct 27, 2021, 00:16 (IST)", Two teenagers riding a high-end sports bike were killed in an accident on Chitkohra road over-bridge under Gardanibagh police station area in state capital on early Tuesday morning. 
" Fatalities in road accidents up in Vizag city, rural, Vizianagaram ","TNN / Dec 31, 2021, 04:05 (IST)"," Despite best efforts by the police to make roads safe, fatalities in road accidents increased in Vizag city, Vizag rural and Vizianagaram district in 2021. "
" Day later, another person loses life at Dabolim after colliding with divider ","TNN / Dec 31, 2021, 04:32 (IST)",  
 Palghar: Three of family killed after water tanker hits scooter ,"PTI / Oct 20, 2021, 13:18 (IST)"," The police later impounded the tanker. They examined CCTV footage of the area and efforts were on to trace the tanker driver, the official said. "
" Chhattisgarh: 3 killed, 8 injured in auto-car collision in Bemetara district ","PTI / Oct 23, 2021, 15:04 (IST)"," Three persons were killed and eight injured when an auto-rickshaw collided with a car in Chhattisgarh's Bemetara district, police said on Saturday. "
" Three killed, 2 injured in Gopalganj accident ","TNN / Sep 26, 2021, 04:00 (IST)",  
 Karnataka native killed after car plunges into pit ,"TNN / Dec 31, 2021, 04:06 (IST)",  
 Assam: Police file chargesheets against Rajkanya Baruah & man who 'killed cousin sister' ,"TNN / Oct 28, 2021, 13:01 (IST)"," Police here on Tuesday filed chargesheets against Rajkanya Baruah, accused in a road accident that took place on October 2, and Abhishek Gupta in a murder case that took place on September 1. "
" Maharashtra: Three killed, three injured in accident near Hardona village ","TNN / Oct 02, 2021, 04:07 (IST)", Three people were killed and three others injured after a goods truck collided head-on with an ambulance near Hardona (khurd) village on Rajura-Gadchandur Road on Thursday night. 
 ORR witnesses 35% spike in fatal road accidents this year ," Dec 31, 2021, 04:04 (IST)",  
 Gujarat: Five killed in car-truck collision in Morbi ,"PTI / Sep 23, 2021, 11:14 (IST)"," Five people were killed after their car rammed into a stationary truck in Gujarat's Morbi district in the wee hours of Thursday, police said. "
" Rajasthan: 2 children killed, 5 injured as car rams into rickshaw in Jaipur ","PTI / Oct 21, 2021, 20:47 (IST)"," Two children were killed and five others injured when a car rammed into their rickshaw in Jaipur's Dudu area on Thursday, police said. "
" Tractor overturns en route to idol immersion site, four killed ","TNN / Oct 18, 2021, 04:11 (IST)",  
 Man dies after hit by car while crossing road in Bani Park ,"TNN / Dec 29, 2021, 04:39 (IST)",  
" Madhya Pradesh: Three labourers killed, five injured in road accident in Dhar ","PTI / Oct 03, 2021, 12:46 (IST)"," Three labourers were killed and five others injured when a loading pickup vehicle collided with a truck in Dhar district of Madhya Pradesh on Sunday, police said. The accident took place around 7.30am near Amka Jhamka temple under Amjhera police station limits, about 35kms from the district headquarters, they said. "
 Culpable homicide cases on the rise as cops vet accidents due to negligence ," Jan 04, 2022, 03:54 (IST)"," On the night of December 1, 2021, a youth driving his father’s car under the influence of alcohol ploughed into a group of seven women sitting by a roadside near Talaghattapura, killing three of them. "
 Uttar Pradesh: Samajwadi Party promises Rs 5 lakh compensation for cyclists who die in road accident ,"TNN / Dec 28, 2021, 22:17 (IST)", Samajwadi Party government will offer Rs 5 lakh as ex-gratia payment to the family of those killed due to stray bull and die in a road accident while riding a bicycle.​ 
 Four dead in road accident in Rajasthan's Dausa ,"PTI / Dec 11, 2021, 22:19 (IST)"," Four people died in an accident between a jeep and a motorcycle on Saturday in Rajasthan's Dausa district, police said. "
 Goa: Another cop killed in road accident ,"TNN / Sep 22, 2021, 04:36 (IST)"," Head constable Sandesh Balsu Bhagat, 51, of Bhagatwada, Canacona, who had met with an accident while returning home from duty, succumbed to his injuries while undergoing treatment at Goa Medical College (GMC). "
" West Bengal: 18 dead, 6 injured in road accident in Nadia ","TNN / Nov 28, 2021, 10:32 (IST)"," 18 people were killed and 6 injured after a speeding hearse, carrying a dead person along with family members and kin for the last rites of the deceased, hit a stone laden truck in West Bengal's Nadia district late in wee hours of Sunday. "
" Lucknow: Tractor crushes student, angry locals block road ","TNN / Dec 28, 2021, 09:28 (IST)"," Public angst spilled on the road after a minor student, returning home from school, was killed in a road accident in Itaunja on Monday. "
" Three killed, six injured in collision between vehicles on Pune-Mumbai Expressway ","TIMESOFINDIA.COM / Oct 18, 2021, 11:19 (IST)", At least three people were killed and six others sustained injuries after seven vehicles rammed into each other on Monday morning near Khopoli on Pune-Mumbai Expressway. 
" Senior citizen killed in BEST bus mishap, two injured ","TNN / Aug 12, 2021, 04:18 (IST)", A senior citizen on his morning walk was crushed to death between a BEST bus and an electric meter cabin in Bhandup (W) on Wednesday. This is the third such mishap in the past five months. 
 Five killed in car-truck collision in Kheda ,"TNN / Dec 11, 2021, 04:29 (IST)"," As many as five persons were killed when a truck hit their car, on the Kapdavanj-Kathlal road in Kheda district early on Friday morning. "
 2 killed in collision involving 4 trucks on Bengaluru-Salem National Highway ,"TNN / Sep 15, 2021, 04:06 (IST)"," Two people were killed and 15 others injured in a multiple collision involving four trucks, one of them a stationary truck, near Thoppur ghat road on Bengaluru-Salem National Highway here on Monday night. The injured are undergoing treatment in the government medical college and hospital in Dharmapuri. "
" Andhra Pradesh: One killed, four injured as school bus falls into nullah in Srikakulam ","TNN / Oct 20, 2021, 17:58 (IST)", The driver lost control over the at a curve and it fell into the nullah cheruvu. Locals rescued children in the school bus belonging to Global School of Kongara village. 
 Couple die in accident as lorry hits 2-wheeler in Visakhapatnam ,"TNN / Dec 28, 2021, 04:07 (IST)"," In a tragic incident, a couple were killed in a road accident when their two-wheeler was hit by a lorry on the National Highway-16 stretch near Thatichetlapalem in Vizag city on Monday. "
 2 killed in Kota as speeding car rams into bike ," Oct 05, 2021, 04:05 (IST)",  
" 2 killed, 2 injured after bus rams into truck on Ahmedabad-Rajkot highway ","PTI / Sep 21, 2021, 13:35 (IST)"," Two persons were killed and two critically injured after a private bus they were travelling in rammed into a truck in Gujarat's Surendranagar district on Tuesday, police said. "
 Indore boy enacting suicide dies by accident ,"TNN / Dec 15, 2021, 09:15 (IST)"," According to police, he had called some of his friends over to watch his act on Monday. He tied a rope to the ceiling and fashioned a noose, but slipped from the stool he was standing on and began choking, say police. "
" Four months after Navi Mumbai man ‘died of heart attack’, kin accuse wife of murder; body may be exhumed ","TNN / Sep 13, 2021, 05:53 (IST)"," Four months after a 38-year-old man from Navi Mumbai purportedly died of a “heart attack leading to a car crash”, his sister has claimed that he was murdered by the wife. A case of culpable homicide not amounting to murder was registered on Saturday against the 35-year-old wife of the deceased. "
 Two competitive exam aspirants Killed in accident on Agra-Lucknow expressway ,"TNN / Oct 12, 2021, 04:51 (IST)"," Two competitive exam aspirants were killed, while one other injured, after a car in which they were travelling collided with the divider on the Agra-Lucknow Expressway in Hasanganj area of Unnao district on Monday morning. "
" Man, son killed in road accident in Roorkee ","TNN / Sep 17, 2021, 04:55 (IST)",  
" 56-year-old, biker die in separate road accidents in city ","TNN / Jan 01, 2022, 03:47 (IST)"," Two people were killed in separate road accidents reported at Mylapore and Triplicane. In Triplicane, a 50-year-old man died after an MTC bus hit him when he tried to cross the road on Thursday. The man’s body was sent to the government hospital for an autopsy. "
" Mercedes rams 6 vehicles, leaves 1 dead in Bengaluru's Indiranagar ","TNN / Dec 08, 2021, 04:17 (IST)"," A speeding Mercedes-Benz knocked down six vehicles on 80-ft road in Indiranagar on Tuesday, killing a 43-year-old restaurant employee and injuring four others, including the businessman who was driving the Benz and his 11-year-old son. "
 Bike collision in Adilabad kills 3 ,"TNN / Dec 26, 2021, 04:30 (IST)",  
 5 kids among 6 of Nagpur family killed in MP accident ,"TNN / Sep 11, 2021, 04:03 (IST)", Five minors were among six members of a family killed when a truck rammed their car from the rear in MP’s Chhindwara district on Thursday night. 
" Nashik: Car rams into parked truck on Nashik-Pune highway, 3 killed ","TNN / Oct 14, 2021, 04:36 (IST)"," The deceased have been identified as Bhushan Badan and Sharad Mahajan — both residents of Nashik city — and Rajesh Tiwari of Ambernath, Kalyan. "
 Ghaziabad: 5 killed in truck-car collision on Meerut expressway ,"PTI / Sep 07, 2021, 16:29 (IST)"," Five people, including two minors, were killed in a head on collision between a truck and a car on the Meerut Expressway under Masuri Police Station area in Ghaziabad, police said on Tuesday. "
" Hyderabad: Drunk businessman ploughs Porsche into 2, both die ","TNN / Dec 07, 2021, 05:55 (IST)"," A drunk real estate businessman, who was on a pub-hopping spree in his Porsche along with his friend from Sunday evening onwards, drove his car into two migrant workers crossing a road in Banjara Hills late in the night, killing them instantly. "
 Telangana: ORR witnesses 35% spike in fatal road accidents this year ,"TNN / Dec 31, 2021, 03:56 (IST)"," With close to 60 deaths, Nehru Outer Ring Road saw a 35% spike in fatal road mishaps this year when compared to 2020, according to the latest data released by Rachakonda and Cyberabad police commissionerates. "
 Gujarat: Car-tanker collision kills four near Tharad ,"TNN / Oct 05, 2021, 04:16 (IST)", Four people died in a head-on collision between their car and a tanker near Tharad town of Banaskantha district on Monday. 
" Two killed, 18 injured after bus rams into truck on Agra-Lucknow Expressway ","TNN / Sep 17, 2021, 04:25 (IST)"," Two persons including the driver of a private sleeper bus were killed while 18 others were injured after it rammed into a truck on Agra-Lucknow Expressway near Timrua-cut, between channel number 105 and 106 under the limits of Saifai police station in Etawah, on the intervening night of Wednesday and Thursday. "
" Two killed, one injured in road accident in Beed ","PTI / Sep 25, 2021, 14:56 (IST)"," Two persons were killed and one injured when their car hit a divider on Dhule-Solapur Highway in Maharashtra's Beed district, police said on Saturday. "
 Madhya Pradesh: Five killed as SUV rams auto in Rajgarh ,"TNN / Sep 17, 2021, 07:12 (IST)", Five people were killed and two injured after their autorickshaw overturned and was hit by an SUV in Rajgarh district on Thursday. They were going to attend a funeral. 
 Coimbatore: Two Killed in accident ,"TNN / Aug 16, 2021, 04:48 (IST)", A young man and his 70-year-old relative were killed after the car they were travelling in hit behind a tipper truck on L&T bypass at Sulur on Saturday night. 
 Navi Mumbai: 3 killed in collision of 7 vehicles on Mumbai-Pune expressway near Khopoli ,"TNN / Oct 18, 2021, 14:30 (IST)", Three persons were killed in a pile-up after a collision of seven vehicles in the Bhor ghat near Khopoli on the Mumbai carriageway of Mumbai-Pune expressway on Monday around 6.30am. 
 Karnataka: Three killed in road accident ,"TNN / Aug 30, 2021, 22:53 (IST)"," According to the police, two mechanics and a driver had travelled from Bengaluru for the repair of a 12-wheel truck that was stranded for the past three days after a breakdown. As they were engaged in the repair of the truck at its rear, they were hit by a goods transport vehicle. "
 Goa: One Killed in accident at Zuari bridge site ,"TNN / Sep 03, 2021, 04:40 (IST)", One person died and another was seriously injured at Agassaim after an electric overhead travelling (EOT) crane came crashing down on a boom lifter. The crane was being used to lift the spans that are being made for the new Zuari bridge. 
 Thane: Father-son duo killed in road accident in Shahapur ,"TNN / Oct 05, 2021, 00:05 (IST)", Nitin Rikame (35) and his father Ganpat (65) were killed in a road accident on Monday in Shahapur taluka of Thane district. 
" Plane crashes in eastern Congo, says provincial minister ","Reuters / Dec 23, 2021, 16:59 (IST)",  
 Maharashtra: Food delivery partner Killed in accident near Talegaon ,"TNN / Sep 07, 2021, 04:48 (IST)"," A 33-year-old man, who started working as a food delivery partner after being laid off from an automobile company, was killed in a hit-and-run accident on Saturday night. "
" Uttar Pradesh: 1,200 killed in 2,200 road accidents in Prayagraj range from Jan 1 to Nov 15 ","TNN / Nov 29, 2021, 18:08 (IST)"," Ironically, the Sangam city has once again topped the chart of road accidents in terms of fatal and non-fatal category accidents. Prayagraj recorded a total of 993 cases of road mishaps between January 1 and November 15, followed by Fatehpur 536, Pratapgarh 416 and Kaushambi 313. "
" UP: 5 killed, 2 injured after car falls into ditch in Mau ","TIMESOFINDIA.COM / Aug 08, 2021, 09:39 (IST)", At least five people were killed and two others were seriously injured after a car went out of control and fell in a ditch in Mau district of Uttar Pradesh. 
" Kolkata: Biker killed, pillion rider injured as motorcycle skids off road ","PTI / Oct 10, 2021, 17:59 (IST)"," A 23-year-old man was killed and a 22-year-old woman was critically injured when a motorcycle they were riding skidded off the road and hit a concrete slab in Kolkata on Sunday, police said. "
 Karnataka: 18 calves killed as pickup truck hits electric pole in Hassan ,"TNN / Aug 19, 2021, 10:08 (IST)", At least 18 calves died after a pickup vehicle hit a roadside electric pole in Dyavappanahalli village in Karnataka's Hassan late on Wednesday. 
 1 booked day after 3 of family die in accident ," Sep 06, 2021, 04:53 (IST)",  
 Ernakulam natives die in accident on Alappuzha bypass road ," Sep 01, 2021, 04:10 (IST)", Two persons were killed and two others were severely injured in an accident involving the collision of two cars on the Alappuzha bypass road in the early hours of Tuesday. 
 Five Killed in accident in Rajasthan's Alwar ,"PTI / Aug 15, 2021, 16:22 (IST)"," Five people were killed and three others injured on Sunday when a truck collided head-on with a car in Rajasthan's Alwar district, police said. "
 Woman dies in road accident in Doon ,"TNN / Dec 03, 2021, 04:23 (IST)",  
 Man Killed in accident amid poor visibility on Nagpur-Amravati highway ,"TNN / Oct 12, 2021, 05:28 (IST)", 30-year-old Akash Adsude was killed and two others sustained serious injuries in a freak accident near Satnavari on the Nagpur-Amravati highway in the early hours of Monday. The foursome was on its way back to Nagpur after visiting an Amravati temple. 
 Nashik: Five people killed in autorickshaw-truck collision ,"PTI / Sep 26, 2021, 15:22 (IST)"," The driver of the truck, identified as Sunil Sonawane, has been arrested,"" the official informed. "
 Four killed in two separate accidents ,"TNN / Aug 27, 2021, 04:46 (IST)",  
" 3 cops, 2 others out to rescue girl in Haryana dead in Yamuna Expressway accident ","TNN / Dec 04, 2021, 04:28 (IST)", Five people including three Madhya Pradesh police personnel were killed and three others sustained serious injuries when their SUV crashed into a road divider near Milestone 80 on the Yamuna expressway in Mathura’s Surir stretch on Friday. 
 Noida: Brother-sister duo killed as truck hits their bike in Dadri ,"TNN / Oct 05, 2021, 07:38 (IST)"," A brother-sister duo died after a speeding truck rammed their bike from behind on GT Road in Dadri on Monday afternoon, the police said. "
" Car rams into parked truck in Mathura, couple from Gurugram, 2 others killed ","TNN / Oct 11, 2021, 04:17 (IST)"," Four persons, including a couple from Gurgaon, were killed and four others sustained injuries, when their car rammed into a stationary truck on the Delhi-Agra National Highway-2 in Mathura under Chhatta police limits on Sunday, police said. The car was heading to Amethi from Gurgaon. The accident occurred at 2:30am. "
 Teen dies in Los Angeles car crash ,"TNN / Dec 21, 2021, 10:35 (IST)", A 15-year-old boy was killed and his 17-year-old sister suffered severe injuries in a car accident in Los Angeles on Saturday night. 
 Pune: Two killed in separate road accidents ," Sep 07, 2021, 20:47 (IST)"," A pedestrian, Popat Bapu Chakhale (45) of Kharadi, was knocked down to death by a speeding tempo at Kharadi on Monday evening. "
" Over 2,000 lives lost on Noida’s roads since 2017, speeding biggest cause ","TNN / Dec 21, 2021, 07:46 (IST)"," More than 2,000 people have been killed in nearly 4,600 road accidents in Gautam Budh Nagar in the past five years. Till November, the year 2021 alone reported nearly 700 crashes, in which 320 people died and 504 were injured. The data has been shared by Noida police. "
 1 dead as ‘drunk’ driver hits tree ,"TNN / Dec 21, 2021, 04:30 (IST)",  
 Woman mowed down by RTC bus ,"TNN / Dec 21, 2021, 04:30 (IST)",  
 Delhi: Azadpur & Punjabi Bagh Chowk among accident black spots ,"TNN / Dec 21, 2021, 04:03 (IST)"," The Outer and the Inner Ring Roads in Delhi witnessed the highest road accidents and fatalities last year. While the Inner Ring Road witnessed the highest 287 accidents with 88 deaths, the Outer Ring Road saw the highest fatalities with 100 people killed in 256 accidents, shows data shared by Delhi Traffic Police. "
" Car rams trucknear ORR,two killed ","TNN / Sep 02, 2021, 04:34 (IST)",  
 Three minor pedestrians on way to Ambaji Killed in accident ,"TNN / Sep 19, 2021, 04:25 (IST)",  
" Mangaluru: Biker killed, two injured in accident ","TNN / Sep 06, 2021, 21:19 (IST)"," The officer said the deceased is Manoj Kumar, 20. The incident took place when Manoj along with Yogish as the pillion, was riding a bike towards Hassan. "
" Navi Mumbai: One dead, another injured in accident on Sion-Panvel highway ","TNN / Jan 01, 2022, 11:50 (IST)"," A tempo driver from Osmanabad was killed and a youth from Kharghar accompanying him was injured after the tempo rammed into a truck ahead, after the truck driver applied sudden brakes on Kamothe flyover on Friday around 2.30am. "
" All for salvation? Man kills wife, 3 kids, then jumps before vehicle in Hisar "," Dec 21, 2021, 07:31 (IST)",  
 Biker killed in hit-and-run in Lohegaon ," Dec 21, 2021, 04:52 (IST)",  
 Delhi: 12-year-old boy killed in Majnu ka Tila road accident ,"PTI / Oct 25, 2021, 21:30 (IST)"," A 12-year-old boy died after being hit by a tempo in north Delhi's Majnu ka Tila on Monday, police said. "
" Gujarat: Five dead, three injured in van-tanker collision ","PTI / Nov 20, 2021, 09:46 (IST)"," Five persons were killed and three others injured when the van they were travelling in was hit by a tanker near Valana village in Ahmedabad district of Gujarat early on Saturday, police said. "
 Gujarat: Two killed after autorickshaw catches fire in accident in Banaskantha ,"PTI / Oct 08, 2021, 18:18 (IST)"," Two persons were killed when an autorickshaw caught fire after it got crushed between two trucks near Deesa town of Gujarat's Banaskantha district on Friday, police said. "
" Rajasthan: 5 killed, 1 critical as speeding car hits divider, falls off flyover in Sikar ","TNN / Sep 19, 2021, 04:27 (IST)", Five persons were killed and one other critically injured after a speeding car fell off a flyover near Reengus in Sikar on Saturday night. 
 Parents donate eyes of accident victim in Bengaluru ,"TNN / Dec 08, 2021, 03:51 (IST)"," A 33-year-old assistant project manager of a private construction firm was killed as he came under the wheels of a water tanker near Iblur junction, HSR Layout, on Tuesday morning. HSR Layout traffic police identified the deceased as Rohith, a resident of Nagarabhavi. "
 Hyderabad: Cops scan CCTV footage to get car speed data ,"TNN / Dec 20, 2021, 04:16 (IST)"," Police are checking CCTV footage to ascertain the speed of the car, which crashed into a road-side tree near University of Hyderabad (UoH) on Saturday morning, killing three persons —M Manasa, N Manasa and Abdul Raheem — on the spot. "
" Rajasthan: 12 killed, 6 injured as cruiser collides with truck in Nagaur ","TNN / Aug 31, 2021, 09:40 (IST)"," As many as eleven people were killed and seven others sustained injuries after a cruiser collided with a truck in Nagaur, Rajasthan on Tuesday morning. "
 Madhya Pradesh: Four including three UP cops Killed in accident ,"TNN / Oct 06, 2021, 12:31 (IST)", Four people including a sub-inspector and two constables of Uttar Pradesh police department died in a road accident in Morena district of Madhya Pradesh on Wednesday. 
" 6 killed, 4 injured in van-truck collision in Jaipur ","TNN / Sep 25, 2021, 10:05 (IST)", Six persons were killed and four injured after a van rammed into a multi-axle truck near Chaksu in Jaipur on Saturday morning. 
 Eight killed as truck rams into huts in Amreli ,"TNN / Aug 10, 2021, 04:18 (IST)"," Wails broke the silence of the night on the outskirts of Badhada village in Amreli district when a vehicle recovery truck crashed into thatched houses, killing eight people who were in deep sleep. "
 Death toll rises to 16 in latest Greece migrant boat accident ,"AFP / Dec 25, 2021, 11:16 (IST)",  
 Three including woman killed in 2 mishaps in Bayana ,"TNN / Dec 19, 2021, 04:59 (IST)",  
 Jharkhand: Family donates eyes of teenager Killed in accident ,"TNN / Sep 14, 2021, 14:18 (IST)"," The family of a teenager who died in a road accident on Sunday donated his eyes, hours after he died. Saurav Raj (16), a student of Class X, was admitted to a hospital after the scooter he was driving hit a road divider on Kanke road on Sunday morning. "
" Madhya Pradesh: 7 killed, 15 injured in bus-truck collision in Bhind ","TNN / Oct 01, 2021, 09:44 (IST)", At least seven passengers were killed and 13 others injured in a collision between a bus and container truck near Virkhadi village in Madhya Pradesh's Bhind district. 
 14 killed in Chinese construction site landslide ,"AFP / Jan 04, 2022, 16:40 (IST)",  
 60-year-old killed in road accident ,"TNN / Aug 13, 2021, 04:15 (IST)",  
