Field1,Time,Field2
" Greater Noida: Just minutes from home, 2 brothers crushed to death by tractor-trolley ","TNN / Dec 26, 2021, 06:39 (IST)"," Two brothers were mowed down by a speeding tractor-trolley just 2km from their house in Dankaur area on Friday, police said. The driver of the tractor managed to flee the spot. "
" Robbers fleeing with stolen dumper meet with accident, one killed, 4 hurt ","TNN / Dec 26, 2021, 04:16 (IST)",  
" Rajasthan: 2 killed, 8 injured in car collision in Jaisalmer village ","PTI / Dec 31, 2021, 18:45 (IST)"," Two persons were killed and eight others injured in a collision between two cars in Rajasthan's Jaisalmer district on Friday, police said. "
 Kanpur: Three youths killed as car rams tree in Ghatampur ,"TNN / Jan 07, 2022, 04:16 (IST)", Three persons were killed when a car in which they were travelling rammed into a tree near Hatherua turn on Musa Nagar road in Ghatampur area of the district on Thursday. 
 Kerala: 3 youngsters killed as bike rams into tree ,"PTI / Jan 04, 2022, 21:28 (IST)"," Three teenagers died on Tuesday after the motorcycle they were traveling on rammed into a tree along the roadside upon losing control of the vehicle here, police said. "
" Five killed, nine injured in bus accident on Ambala-Delhi highway ","TNN / Dec 27, 2021, 11:26 (IST)", Five people were killed and nine others injured in a bus accident in Haryana's Ambala district early on Monday. The accident occurred on National Highway 152. 
 Uttar Pradesh: Four killed in road accident on Purvanchal Expressway ,"TNN / Jan 06, 2022, 23:39 (IST)",  
 Car accident in Baran kills constable ,"TNN / Dec 19, 2021, 04:04 (IST)",  
 Andhra Pradesh: Two brothers killed in separate accidents within four hours ,"TNN / Jan 09, 2022, 07:22 (IST)", Police officials said a farmer was knocked down by a truck in the early hours of Saturday while he was travelling on a two-wheeler. 
 3 women killed in three separate road accidents ,"TNN / Dec 20, 2021, 04:39 (IST)",  
" Four pilgrims killed, 20 injured in road accident near Pune ","TNN / Nov 27, 2021, 10:47 (IST)", The warkaris were walking down towards Alandi from Khalapur when the accident took place when the pick-up truck entered the wari procession and went on knocking them down. The police said that the pick-up truck's driver lost control over the wheel and it hit the warkaris. 
" Four fishermen killed, several injured in mishap ","TNN / Dec 29, 2021, 04:54 (IST)",  
" Delhi: Tribunal rejects claim of Rs 9.5 crore in motor accident case, frowns upon ‘fact manipulation’ ","TNN / Dec 20, 2021, 04:11 (IST)"," While dismissing a petition for a claim of Rs 9.5 crore by the family of a man who was allegedly killed in a motor accident, a Delhi tribunal said that while sympathising with the bereaved family, the case facts appeared to have been manipulated, with eyewitnesses emerging after police had filed a closure report. "
" Mumbai: SUV topples at Aksa beach, youth on footrail crushed ","TNN / Dec 20, 2021, 04:00 (IST)"," A birthday outing went horribly wrong for a group of seven young men from Ghatkopar when their SUV overturned at Aksa beach in Malad on Saturday, killing one and injuring the rest. "
" Bihar: 3 killed, two injured as SUV hits road divider in Paliganj ","TNN / Dec 28, 2021, 04:00 (IST)"," Three people were killed and two others seriously injured in Paliganj on Monday evening when an SUV, which was on its way from Patna to Arwal, collided with a road divider and fell into a gorge. The accident occurred on the NH-139 near Rani Talab under the same police station area. "
 Maharashtra: 3 killed as truck hits bike ,"TNN / Dec 09, 2021, 05:32 (IST)"," Three people, including a woman and her four-year-old daughter were killed as a truck crushed the bike-borne trio on Ashti-Chamorshi road near Umri village in Chamorshi tehsil of Gadchiroli on Wednesday afternoon. "
" UP: 2 killed, 3 injured in bus accident in Muzaffarnagar ","PTI / Jan 01, 2022, 15:38 (IST)"," Two people were killed after a bus allegedly ran over a man and then collided with a truck on the Delhi-Dehradun National Highway here on Saturday, police said. "
 60-yr-old among 2 killed in Indore road accidents ,"TNN / Jan 06, 2022, 04:17 (IST)", Two persons were killed in different road accidents reported late on Tuesday night. A 60-year-old woman died while two others were injured in a motorcycle crash that took place in the limits of Azad Nagar police station. 
" 6 labourers killed, 18 injured in road accident in Jharkhand ","PTI / Jan 01, 2022, 00:11 (IST)"," Six labourers, including three women, were killed and 18 others injured in a head-on collision between a pickup van and a truck in Hariharganj in Jharkhand's Palamu district on Friday, an official said. "
 Child among 4 killed in road accidents in Bhopal ,"TNN / Dec 26, 2021, 06:31 (IST)", A 61-year-old man was knocked down by a speeding bike while he was returning home from Berasia locality on Friday evening. The elderly man sustained severe injuries and was rushed to a hospital where he was declared dead on arrival. Acting on information Berasia police registered a case against the errant bikerider and started the investigation. 
 3 of a family killed in Dudu accident ,"TNN / Dec 10, 2021, 04:17 (IST)",  
" Rajasthan: Six killed, 25 hurt in separate road accidents ","PTI / Dec 16, 2021, 23:14 (IST)"," Six people, including a woman and a child, were killed and 30 others were injured in three separate road accidents in Rajasthan on Thursday. "
 3 killed in road accidents ," Dec 01, 2021, 04:41 (IST)",  
 Two young judo aspirants among three Killed in accident ,"TNN / Dec 30, 2021, 04:27 (IST)",  
 Two young judo aspirants among three Killed in accident ,"TNN / Dec 30, 2021, 03:48 (IST)", Two students were among three people killed and 11 injured when their MUV crashed into a truck near Tarapur crossroads close to Bagodara on Wednesday morning.The group was returning after participating in an Under-19 judo tournament held in Vapi. 
 2 killed on ORR as drowsy driver rear-ends lorry ,"TNN / Dec 29, 2021, 04:55 (IST)",  
" One killed, 15 injured in road accident ","TNN / Dec 16, 2021, 04:55 (IST)",  
 32L relief for kin of toll gate staff Killed in accident ,"TNN / Jan 02, 2022, 03:48 (IST)", A city motor accident claims tribunal has directed an insurance firm to compensate 32 lakh to the families of two toll gate staff who were killed after a truck smashed into the counters of Vanagaram toll gate along Chennai bypass road. 
" 1 killed, 3 injured in multi-vehicle mishap on Pune-Mumbai expressway ","TNN / Dec 17, 2021, 10:44 (IST)", A tempo driver was killed and three others injured in an accident involving multiple vehicles on the Mumbai-Pune expressway in Bhor Ghat near Khopoli on Thursday evening. 
" One killed, eight hurt in Dahod highway pile-up ","TNN / Dec 02, 2021, 04:05 (IST)", One person was killed and around eight others were injured in an accident that led to a pile up on the Limdi-Limkheda road in Dahod district. A driver losing control due to wet roads is said to be the reason behind the late night incident. 
 Mumbai: Leopard killed in road accident on nat’l highway ," Dec 27, 2021, 04:14 (IST)",  
 Man killed as car ramslorry in bid to overtake ,"TNN / Dec 21, 2021, 04:30 (IST)",  
 Woman killed in road accident ,"TNN / Nov 25, 2021, 04:09 (IST)",  
 Two junior artistes killed in Hyderabad road accident! ,"IANS / Dec 18, 2021, 14:02 (IST)"," Three people, including two female junior artists, were killed and another person was injured when the car in which they were travelling in hit a tree on Saturday in Hyderabad. "
" UP: After killing dad, man flees and dies in road accident in Rampur ","TNN / Dec 07, 2021, 04:29 (IST)"," A 25-year-old man allegedly bludgeoned his 55-year-old father, a home guard, to death with an iron rod in his sleep and then got killed in a road accident in a bid to flee the spot in Shahbad area of UP’s Rampur district on the intervening night of Sunday and Monday. "
" 3 killed, 2 hurt in accident on NH-2 in Mathura ","TNN / Dec 07, 2021, 04:23 (IST)",  
" Trichy: Woman kills mother-in-law, covers it up as fire accident ","TNN / Jan 02, 2022, 04:11 (IST)", Trichy city police arrested a 27-year-old woman on Saturday for murdering her mother-in-law and trying to pass it off as an accidental death in a fire accident at her house in Viswas Nagar. 
" Biker killed, 2 injured in accidents ","TNN / Dec 01, 2021, 04:00 (IST)",  
" Three, including two brothers, killed as bike rams into lorry ","TNN / Dec 21, 2021, 04:30 (IST)",  
 2 school students killed in road crash on Yamuna Expressway ,"PTI / Dec 20, 2021, 20:15 (IST)"," Two class 12 students died in a road crash on Monday after their car which was allegedly speeding hit the divider and fell into a drain along the Yamuna Expressway in Greater Noida, police officials said. "
 Himachal Pradesh: Two killed 25 injured as vehicle rolls down into gorge ,"TNN / Dec 07, 2021, 15:16 (IST)", Two women were killed and 25 others injured after a vehicle rolled down into a gorge in Himachal Pradesh's Chamba district on Tuesday. 
 Woman taking husband’s body home killed in Pune accident ,"TNN / Dec 26, 2021, 04:07 (IST)", An ambulance driver and a woman died and her two sons were seriously injured when a speeding truck hit the vehicle carrying the body of her husband near Chandni Chowk on the Katraj-Dehu Road bypass around 5am on Friday. 
" 9 killed, 8 injured in road mishap in Pakistan ","ANI / Dec 16, 2021, 20:10 (IST)",  
" 2 killed as truck crashes into bike, locals stage protest "," Dec 19, 2021, 04:00 (IST)",  
 5 Killed in accident on Mathura-Yamuna expressway ,"ANI / Nov 05, 2021, 10:57 (IST)"," At least five persons were killed in a road mishap on the Mathura-Yamuna expressway on Friday morning, the police informed. "
 Three Town CI killed in road accident ,"TNN / Nov 26, 2021, 04:28 (IST)",  
 36-year-old Killed in accident ,"TNN / Nov 20, 2021, 04:47 (IST)",  
" Woman killed, two injured after car rams Metro pillar "," Dec 01, 2021, 04:29 (IST)",  
 Biker Killed in accident on Pune Road ,"TNN / Oct 31, 2021, 04:44 (IST)", A 36-year-old motorcyclist was killed after a speeding truck knocked him down on the Pune road near Dr Ambedkar Nagar. 
" Jaipur: Speeding car hits bike, kills two friends in Pali ","TNN / Dec 07, 2021, 04:18 (IST)"," Two youths on a motorbike were killed after being hit by a car driven rashly near Bali-Phalna road under Phalna police station area of Pali district late on Sunday evening. Though the police seized the car, the driver has not been arrested yet. "
" In custody, Assam lynching accused Killed in accident ","TNN / Dec 02, 2021, 03:03 (IST)"," The prime accused in the lynching of an All Assam Students’ Union (Aasu) leader in Jorhat two days ago was “accidentally” killed early on Wednesday when he allegedly jumped out of a police car in a bid to escape and was fatally hit by an escort vehicle. Neeraj Das, alias Kola Lora, was to be produced in court during the day. "
 Two killed after van hits bike in Dadri ,"TNN / Dec 12, 2021, 07:42 (IST)",  
" Rajasthan: Two killed, 30 hurt as bus overturns in Jhunjhunu district ","TNN / Dec 17, 2021, 08:15 (IST)"," According to police, the bus mainly contained the laborers working at the brick manufacturing unit. All the labourers were returning to their native place in Uttar Pradesh. "
" Delhi: One killed, two injured in car accident near Mahipalpur flyover ","TIMESOFINDIA.COM / Dec 26, 2021, 12:04 (IST)", One person was killed and two were left severely injured in a car accident near southwest Delhi's Mahipalpur Flyover in the wee hours of Sunday morning. 
 13-year-old among four killed as container crushes auto in Delhi ,"TNN / Dec 19, 2021, 05:42 (IST)", Four people died after a cargo container weighing more than 35 tonnes fell on an autorickshaw in which they were travelling. 
" Two killed, 11 injured in 3 accidents in Noida ","TNN / Dec 08, 2021, 07:45 (IST)"," Two people died while 11 others were injured in three separate accidents reported across Gautam Budh Nagar early on Tuesday morning, police said. "
 Coimbatore: Man killed in workplace accident ,"TNN / Nov 04, 2021, 04:18 (IST)", A 29-year-old man died in a workplace accident at Chinniyampalayam in the city on Tuesday. 
" Car collides with auto in bid to overtake, 3 killed ","TNN / Dec 10, 2021, 04:59 (IST)",  
" Andhra Pradesh: 4 killed, 5 injured as jeep rams into auto in Anantapur ","TNN / Dec 06, 2021, 13:16 (IST)"," Four people were killed while five others sustained injuries after a speeding jeep rammed into an auto in Anantapur district on Monday, said local police. "
 8 killed in separate road accidents in AP's Anantapur district ,"TNN / Nov 06, 2021, 06:29 (IST)"," Eight people including six women farm labour were killed in two separate road accidents in Anantapur district on Friday. While six people were killed in one accident involving an autorickshaw and a lorry, two others died when a car mowed down two pedestrians. "
" Madhya Pradesh: 6 killed, 25 injured as passenger bus collides with truck ","PTI / Dec 01, 2021, 17:53 (IST)"," Six persons were killed and 25 others injured, five of them seriously, when a passenger bus carrying them collided with a truck in Betul district of Madhya Pradesh on Wednesday, a police official said. "
" Truck driver, cleaner Killed in accident ","TNN / Oct 25, 2021, 04:21 (IST)"," A truck turned turtle on Khijadia bypass road in Jamnagar early on Sunday morning, killing both the driver and the cleaner on the spot. "
 50-year-old man killed in road accident on Mumbra-Panvel highway ,"TNN / Dec 24, 2021, 12:21 (IST)", A 50-year-old peon at the Panvel RTO office was killed after being hit by a tanker while he was crossing the road near a flyover along the Mumbra-Panvel highway on Wednesday. 
 Three of family killed as lorry hits bike in Visakhapatnam ,"TNN / Dec 09, 2021, 10:26 (IST)", Three persons of a family were killed after a speeding lorry hit their bike in Visakhapatnam on Thursday morning. 
 21-year-old Killed in accident ," Nov 20, 2021, 04:38 (IST)",  
 10 killed in separate mishaps; rash driving key reason: Cops ,"TNN / Dec 14, 2021, 04:08 (IST)"," Eight persons were killed and 11 injured in separate road accidents in Bharatpur, Karauli, Ajmer and Udaipur districts on Monday. "
